case_type,benchmark,method,level_pct,n_samples,geometry_fraction_median,geometry_fraction_iqr,geometry_fraction_std,geometry_fraction_control_median,geometry_fraction_paired_diff_median,narrow_gap_fraction_median,narrow_gap_fraction_iqr,narrow_gap_fraction_std,narrow_gap_fraction_control_median,narrow_gap_fraction_paired_diff_median,thin_line_fraction_median,thin_line_fraction_iqr,thin_line_fraction_std,thin_line_fraction_control_median,thin_line_fraction_paired_diff_median,boundary_proximity_mean_median,boundary_proximity_mean_iqr,boundary_proximity_mean_std,boundary_proximity_mean_control_median,boundary_proximity_mean_paired_diff_median,junction_recall_median,junction_recall_iqr,junction_recall_std,junction_recall_control_median,junction_recall_paired_diff_median,junction_density_per_kpx_median,junction_density_per_kpx_iqr,junction_density_per_kpx_std,junction_density_per_kpx_control_median,junction_density_per_kpx_paired_diff_median,corner_recall_median,corner_recall_iqr,corner_recall_std,corner_recall_control_median,corner_recall_paired_diff_median,corner_density_per_kpx_median,corner_density_per_kpx_iqr,corner_density_per_kpx_std,corner_density_per_kpx_control_median,corner_density_per_kpx_paired_diff_median,local_density_mean_median,local_density_mean_iqr,local_density_mean_std,local_density_mean_control_median,local_density_mean_paired_diff_median
TN,iccad5,gradcam_plus,30,3,0.0785,0.0651,0.0603,0.0706,0.0079,0.1992,0.0076,0.0069,0.1889,0.0103,0.0182,0.0171,0.0161,0.0162,0.0021,25.948,26.299,21.7458,25.9506,-1.7958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0106,0.0099,0.2667,0.2184,3.454,4.6835,4.4156,2.3915,1.6484,0.0756,0.0642,0.0595,0.0702,0.0057
TN,iccad5,layercam,10,3,0.2278,0.0256,0.0233,0.0596,0.1233,0.4769,0.0803,0.0658,0.1767,0.3002,0.055,0.0211,0.0175,0.0145,0.0357,9.44,11.7185,9.9397,27.5077,-18.0677,0.0,0.0209,0.0197,0.0,0.0,0.0,0.0995,0.0938,0.0,0.0,0.3654,0.208,0.173,0.0917,0.2737,13.352,5.3805,4.3972,1.9141,11.1466,0.1929,0.0484,0.04,0.0607,0.0976
TN,iccad5,layercam,20,3,0.1774,0.0322,0.0274,0.0639,0.0981,0.3903,0.0768,0.0627,0.1837,0.2004,0.0429,0.0196,0.0166,0.0158,0.0271,13.242,16.126,13.6441,26.3737,-13.1317,0.0,0.2708,0.2554,0.0,0.0,0.0,0.6475,0.6105,0.0,0.0,0.5962,0.203,0.1657,0.2064,0.3379,8.271,4.7835,4.1065,2.6236,6.2137,0.1635,0.0507,0.0423,0.065,0.0664
TN,iccad5,layercam,30,3,0.1521,0.035,0.0315,0.0706,0.0745,0.3371,0.0667,0.0545,0.1889,0.1449,0.0367,0.0166,0.0142,0.0162,0.0181,15.569,18.792,15.9014,25.9506,-10.3816,0.0,0.4167,0.3928,0.0,0.0,0.0,0.6645,0.6265,0.0,0.0,0.8173,0.1532,0.1315,0.2667,0.5314,6.112,4.916,4.5292,2.3915,3.8414,0.1431,0.0514,0.0435,0.0702,0.0503
TN,iccad5,occlusion,10,3,0.2654,0.0583,0.0494,0.0596,0.176,0.5139,0.1519,0.132,0.1767,0.3443,0.0592,0.0052,0.0044,0.0145,0.0421,5.951,0.8235,0.7741,27.5077,-21.5467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.1827,0.156,0.0917,0.0427,8.569,4.8825,4.1834,1.9141,3.5736,0.2189,0.0355,0.0327,0.0607,0.1546
TN,iccad5,occlusion,20,3,0.2024,0.0509,0.0425,0.0639,0.1066,0.4384,0.1636,0.1358,0.1837,0.2485,0.0461,0.0088,0.0073,0.0158,0.0243,6.658,1.4225,1.3038,26.3737,-17.0367,0.0,0.1875,0.1768,0.0,0.0,0.0,0.4485,0.4228,0.0,0.0,0.4519,0.1865,0.1531,0.2064,0.1936,6.976,3.687,3.0814,2.6236,3.9362,0.2057,0.0403,0.0331,0.065,0.0923
TN,iccad5,occlusion,30,3,0.1624,0.0696,0.0577,0.0706,0.0799,0.3414,0.1015,0.0834,0.1889,0.1492,0.0373,0.0151,0.0126,0.0162,0.0131,12.191,9.004,7.5374,25.9506,-13.7596,0.0,0.3125,0.2946,0.0,0.0,0.0,0.498,0.4695,0.0,0.0,0.6538,0.2021,0.1689,0.2667,0.3871,5.381,2.757,2.4215,2.3915,2.9895,0.1597,0.0562,0.0462,0.0702,0.0502
TP,iccad1,gradcam,10,3,0.0943,0.0693,0.0566,0.2569,-0.1579,0.2892,0.0339,0.0307,0.1779,0.1223,0.0727,0.0389,0.0323,0.0796,-0.0069,5.614,0.1505,0.1298,9.5053,-3.8913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1124,0.0285,0.0236,0.1085,0.0039,8.569,2.3915,2.0605,7.1615,0.4115,0.3486,0.0111,0.0099,0.2529,0.0908
TP,iccad1,gradcam,20,3,0.1006,0.0473,0.0391,0.2385,-0.138,0.2891,0.0369,0.0304,0.1643,0.1248,0.0545,0.0097,0.0079,0.0785,-0.024,5.694,0.2165,0.1768,9.6877,-3.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2163,0.0176,0.016,0.191,0.0279,8.57,0.7975,0.6777,7.2819,1.0687,0.3229,0.004,0.0034,0.2367,0.0843
TP,iccad1,gradcam,30,3,0.1165,0.0182,0.0165,0.2643,-0.1478,0.2919,0.0183,0.0171,0.178,0.1099,0.064,0.012,0.0102,0.0815,-0.0045,5.995,0.326,0.2735,9.0683,-3.5323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3876,0.0368,0.0305,0.29,0.0742,9.367,2.059,1.8052,7.7387,2.3206,0.304,0.0086,0.0071,0.2638,0.0471
TP,iccad1,gradcam_plus,10,3,0.1353,0.0763,0.0625,0.2569,-0.1169,0.1088,0.0386,0.0335,0.1779,-0.0581,0.0819,0.0349,0.0295,0.0796,0.0023,8.43,0.9195,0.7617,9.5053,-0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1474,0.0204,0.0166,0.1085,0.0407,11.16,1.6935,1.4459,7.1615,3.5141,0.2416,0.0491,0.0401,0.2529,-0.0113
TP,iccad1,gradcam_plus,20,3,0.1075,0.0359,0.0305,0.2385,-0.1311,0.147,0.0517,0.0456,0.1643,-0.0173,0.0524,0.0108,0.0091,0.0785,-0.0199,8.067,0.34,0.3056,9.6877,-1.6207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1893,0.0166,0.0143,0.191,-0.0016,7.573,1.8435,1.5359,7.2819,0.1301,0.2328,0.0171,0.0144,0.2367,-0.0075
TP,iccad1,gradcam_plus,30,3,0.1007,0.0161,0.0132,0.2643,-0.1492,0.1527,0.0366,0.0337,0.178,-0.0226,0.0493,0.0055,0.0045,0.0815,-0.0266,7.662,0.103,0.0926,9.0683,-1.4063,0.0,0.02,0.0189,0.0,0.0,0.0,0.033,0.0311,0.0,0.0,0.3718,0.0596,0.0491,0.29,0.0336,9.367,1.6605,1.3787,7.7387,1.253,0.2333,0.0024,0.002,0.2638,-0.0287
TP,iccad1,layercam,10,3,0.3749,0.0248,0.0207,0.2569,0.1227,0.3131,0.0136,0.0111,0.1779,0.134,0.1405,0.0161,0.0142,0.0796,0.0588,4.059,0.5945,0.5041,9.5053,-5.6358,0.0,0.26,0.2451,0.0,0.0,0.0,1.2955,1.2214,0.0,0.0,0.1752,0.0409,0.0366,0.1085,0.0572,16.341,4.683,3.8309,7.1615,3.9985,0.3768,0.0201,0.017,0.2529,0.1239
