benchmark,sample_id,case_type,method,level_pct,is_degenerate_map,mean_local_width_px,mean_local_gap_px,mean_local_density,mean_boundary_distance_px,n_geometry_px_in_mask,n_background_px_in_mask,mask_area_px
iccad3,HSCAD31012,TP,gradcam,20,False,5.41,6.531,0.4284,2.011,4715,5320,10035
iccad3,HSCAD31012,TP,gradcam_plus,20,False,5.518,5.656,0.4364,1.8,4697,5338,10035
iccad3,HSCAD31012,TP,layercam,20,False,5.446,7.026,0.4061,2.146,4725,5310,10035
iccad3,HSCAD31012,TP,occlusion,20,False,5.402,9.003,0.4055,2.708,4459,5576,10035
iccad3,HSCAD31012,TP,gradcam,30,False,5.283,7.667,0.3962,2.373,5941,9112,15053
iccad3,HSCAD31012,TP,gradcam_plus,30,False,5.318,6.051,0.4245,1.872,6579,8474,15053
iccad3,HSCAD31012,TP,layercam,30,False,5.392,7.915,0.383,2.416,6552,8501,15053
iccad3,HSCAD31012,TP,occlusion,30,False,5.356,10.597,0.358,3.27,5968,9085,15053
iccad3,HSCAD31060,TP,gradcam,10,False,5.514,7.304,0.3694,2.221,2485,2533,5018
iccad3,HSCAD31060,TP,gradcam_plus,10,True,5.377,13.75,0.3895,4.19,2023,2995,5018
iccad3,HSCAD31060,TP,layercam,10,False,5.522,6.743,0.4028,2.076,2492,2526,5018
iccad3,HSCAD31060,TP,occlusion,10,False,5.437,8.831,0.3909,2.75,1999,3019,5018
iccad3,HSCAD31060,TP,gradcam,20,False,5.295,7.885,0.3694,2.424,4127,5908,10035
iccad3,HSCAD31060,TP,gradcam_plus,20,True,5.322,14.092,0.3747,4.433,3701,6334,10035
iccad3,HSCAD31060,TP,layercam,20,False,5.512,7.423,0.392,2.271,4716,5319,10035
iccad3,HSCAD31060,TP,occlusion,20,False,5.415,9.121,0.3825,2.817,4093,5942,10035
iccad3,HSCAD31060,TP,gradcam,30,False,5.22,8.182,0.3612,2.547,5695,9358,15053
iccad3,HSCAD31060,TP,gradcam_plus,30,True,5.176,13.707,0.3389,4.394,5183,9870,15053
iccad3,HSCAD31060,TP,layercam,30,False,5.401,7.62,0.3816,2.329,6667,8386,15053
iccad3,HSCAD31060,TP,occlusion,30,False,5.323,10.458,0.3489,3.296,5565,9488,15053
iccad3,NNHSCAD33591_8,FP,gradcam,10,False,5.836,5.108,0.5172,1.772,3009,2009,5018
iccad3,NNHSCAD33591_8,FP,gradcam_plus,10,False,9.414,11.205,0.4695,4.067,3025,1993,5018
iccad3,NNHSCAD33591_8,FP,layercam,10,False,5.361,5.184,0.4957,1.64,2585,2433,5018
iccad3,NNHSCAD33591_8,FP,occlusion,10,False,5.188,5.148,0.5017,1.584,2428,2590,5018
iccad3,NNHSCAD33591_8,FP,gradcam,20,False,5.407,5.324,0.5016,1.683,4816,5219,10035
iccad3,NNHSCAD33591_8,FP,gradcam_plus,20,False,7.58,10.965,0.4361,3.69,4738,5297,10035
iccad3,NNHSCAD33591_8,FP,layercam,20,False,5.52,5.802,0.4784,1.836,4958,5077,10035
iccad3,NNHSCAD33591_8,FP,occlusion,20,False,5.232,7.44,0.4632,2.244,4373,5662,10035
iccad3,NNHSCAD33591_8,FP,gradcam,30,False,5.371,5.35,0.4869,1.681,7309,7744,15053
iccad3,NNHSCAD33591_8,FP,gradcam_plus,30,False,6.818,10.398,0.3999,3.469,6201,8852,15053
iccad3,NNHSCAD33591_8,FP,layercam,30,False,5.728,6.415,0.4584,2.047,7321,7732,15053
iccad3,NNHSCAD33591_8,FP,occlusion,30,False,5.3,9.523,0.4254,2.925,6018,9035,15053
iccad3,NHSCAD31051_2,FP,gradcam,10,False,5.767,6.035,0.4449,1.951,2827,2191,5018
iccad3,NHSCAD31051_2,FP,gradcam_plus,10,False,5.727,5.019,0.4832,1.699,2669,2349,5018
iccad3,NHSCAD31051_2,FP,layercam,10,False,5.436,6.661,0.4405,2.045,2401,2617,5018
iccad3,NHSCAD31051_2,FP,occlusion,10,False,5.442,6.99,0.4359,2.133,2404,2614,5018
iccad3,NHSCAD31051_2,FP,gradcam,20,False,5.278,6.482,0.4338,1.983,4466,5569,10035
iccad3,NHSCAD31051_2,FP,gradcam_plus,20,False,5.566,5.61,0.4698,1.798,4941,5094,10035
iccad3,NHSCAD31051_2,FP,layercam,20,False,5.474,7.064,0.4151,2.169,4676,5359,10035
iccad3,NHSCAD31051_2,FP,occlusion,20,False,5.347,10.132,0.3753,3.145,3913,6122,10035
iccad3,NHSCAD31051_2,FP,gradcam,30,False,5.179,6.648,0.4168,2.036,6147,8906,15053
iccad3,NHSCAD31051_2,FP,gradcam_plus,30,False,5.476,6.53,0.4254,2.018,7270,7783,15053
iccad3,NHSCAD31051_2,FP,layercam,30,False,5.408,7.465,0.3956,2.275,6817,8236,15053
iccad3,NHSCAD31051_2,FP,occlusion,30,False,5.338,10.622,0.3575,3.306,5790,9263,15053
iccad3,NHSCAD31011_8,FP,gradcam,10,False,5.765,5.546,0.4422,1.847,2789,2229,5018
iccad3,NHSCAD31011_8,FP,gradcam_plus,10,False,5.915,5.648,0.4797,1.898,2766,2252,5018
iccad3,NHSCAD31011_8,FP,layercam,10,False,5.587,5.297,0.4848,1.727,2679,2339,5018
iccad3,NHSCAD31011_8,FP,occlusion,10,False,5.48,4.714,0.4965,1.569,2773,2245,5018
iccad3,NHSCAD31011_8,FP,gradcam,20,False,5.329,5.985,0.4349,1.846,4862,5173,10035
iccad3,NHSCAD31011_8,FP,gradcam_plus,20,False,5.456,9.717,0.4258,2.898,4532,5503,10035
iccad3,NHSCAD31011_8,FP,layercam,20,False,5.452,5.98,0.4508,1.861,5032,5003,10035
iccad3,NHSCAD31011_8,FP,occlusion,20,False,5.385,8.347,0.4306,2.504,4565,5470,10035
iccad3,NHSCAD31011_8,FP,gradcam,30,False,5.223,6.875,0.4149,2.121,6013,9040,15053
iccad3,NHSCAD31011_8,FP,gradcam_plus,30,False,5.38,12.498,0.3814,3.824,6033,9020,15053
iccad3,NHSCAD31011_8,FP,layercam,30,False,5.393,6.505,0.4283,1.989,7276,7777,15053
iccad3,NHSCAD31011_8,FP,occlusion,30,False,5.279,10.281,0.3759,3.147,6055,8998,15053
iccad4,HSCAD427,TP,gradcam,10,False,5.12,5.603,0.4273,1.704,2140,2878,5018
iccad4,HSCAD427,TP,gradcam_plus,10,True,3.474,20.18,0.2293,7.643,882,4136,5018
iccad4,HSCAD427,TP,layercam,10,False,5.41,9.122,0.3495,2.913,1815,3203,5018
iccad4,HSCAD427,TP,occlusion,10,False,5.271,10.513,0.3396,3.28,1905,3113,5018
iccad4,HSCAD427,TP,gradcam,20,False,5.043,5.558,0.4164,1.663,4744,5291,10035
iccad4,HSCAD427,TP,gradcam_plus,20,True,4.818,20.979,0.2445,7.386,2643,7392,10035
iccad4,HSCAD427,TP,layercam,20,False,5.366,9.835,0.3273,3.189,3388,6647,10035
iccad4,HSCAD427,TP,occlusion,20,False,5.241,11.206,0.3303,3.505,3750,6285,10035
iccad4,HSCAD427,TP,gradcam,30,False,5.199,5.638,0.4097,1.718,7392,7661,15053
iccad4,HSCAD427,TP,gradcam_plus,30,True,4.975,19.828,0.2426,7.035,3859,11194,15053
iccad4,HSCAD427,TP,layercam,30,False,5.296,10.869,0.3138,3.547,4938,10115,15053
iccad4,HSCAD427,TP,occlusion,30,False,5.234,10.941,0.3342,3.376,5841,9212,15053
iccad4,HSCAD4158,TP,gradcam,10,False,5.277,5.315,0.4152,1.659,2405,2613,5018
iccad4,HSCAD4158,TP,gradcam_plus,10,False,5.155,5.693,0.325,1.732,2433,2585,5018
iccad4,HSCAD4158,TP,layercam,10,False,5.256,9.802,0.337,3.284,1418,3600,5018
iccad4,HSCAD4158,TP,occlusion,10,False,5.248,9.919,0.3144,3.126,1839,3179,5018
iccad4,HSCAD4158,TP,gradcam,20,False,5.304,6.34,0.3471,1.94,4724,5311,10035
iccad4,HSCAD4158,TP,gradcam_plus,20,False,5.199,7.755,0.3072,2.374,4090,5945,10035
iccad4,HSCAD4158,TP,layercam,20,False,5.326,11.538,0.3029,3.937,2760,7275,10035
iccad4,HSCAD4158,TP,occlusion,20,False,5.288,13.992,0.2715,4.731,2970,7065,10035
iccad4,HSCAD4158,TP,gradcam,30,False,5.446,7.763,0.308,2.402,6422,8631,15053
iccad4,HSCAD4158,TP,gradcam_plus,30,False,5.482,10.04,0.2834,3.195,5569,9484,15053
iccad4,HSCAD4158,TP,layercam,30,False,5.394,13.245,0.2735,4.6,4008,11045,15053
iccad4,HSCAD4158,TP,occlusion,30,False,5.285,14.917,0.2501,5.221,3944,11109,15053
iccad4,HSCAD497,TP,gradcam,10,False,5.496,10.22,0.3613,3.117,2125,2893,5018
iccad4,HSCAD497,TP,gradcam_plus,10,False,4.333,27.267,0.1095,12.23,186,4832,5018
iccad4,HSCAD497,TP,layercam,10,False,5.431,9.306,0.3672,2.914,1953,3065,5018
iccad4,HSCAD497,TP,occlusion,10,False,5.326,11.644,0.3166,3.72,1776,3242,5018
iccad4,HSCAD497,TP,gradcam,20,False,5.55,11.903,0.3149,3.599,4309,5726,10035
iccad4,HSCAD497,TP,gradcam_plus,20,False,5.464,24.173,0.1823,9.229,2015,8020,10035
iccad4,HSCAD497,TP,layercam,20,False,5.489,11.719,0.3245,3.812,3426,6609,10035
iccad4,HSCAD497,TP,occlusion,20,False,5.323,12.726,0.3261,3.956,3838,6197,10035
iccad4,HSCAD497,TP,gradcam,30,False,5.426,13.704,0.2937,4.24,5902,9151,15053
iccad4,HSCAD497,TP,gradcam_plus,30,False,5.322,20.604,0.2116,7.512,3565,11488,15053
iccad4,HSCAD497,TP,layercam,30,False,5.39,13.138,0.3014,4.399,4610,10443,15053
iccad4,HSCAD497,TP,occlusion,30,False,5.323,15.889,0.289,5.282,4774,10279,15053
iccad4,NHSCAD418_6,FP,gradcam,10,False,4.616,6.068,0.4297,1.804,1662,3356,5018
iccad4,NHSCAD418_6,FP,gradcam_plus,10,True,2.0,27.285,0.1162,12.174,192,4826,5018
iccad4,NHSCAD418_6,FP,layercam,10,False,5.296,7.851,0.4078,2.534,1612,3406,5018
iccad4,NHSCAD418_6,FP,occlusion,10,False,4.956,12.491,0.3106,4.025,1654,3364,5018
iccad4,NHSCAD418_6,FP,gradcam,20,False,4.813,6.674,0.4325,1.991,3846,6189,10035
iccad4,NHSCAD418_6,FP,gradcam_plus,20,True,5.04,24.988,0.2221,9.056,2465,7570,10035
