run_name,noise_type,noise_idx,p_nhs,logit_nhs,penult_norm,penult_n_active,is_zero_vector
balanced_sampling_seed3,uniform,14,0.0016159997321665287,-6.4262,26.1662,9,False
balanced_sampling_seed3,uniform,15,0.0006167796673253179,-7.3904,25.4058,9,False
balanced_sampling_seed3,uniform,16,0.002074966672807932,-6.1757,25.2725,9,False
balanced_sampling_seed3,uniform,17,0.004096336662769318,-5.4936,26.2251,9,False
balanced_sampling_seed3,uniform,18,0.0007572078029625118,-7.1851,26.9914,9,False
balanced_sampling_seed3,uniform,19,0.0009688372956588864,-6.9384,25.5848,9,False
balanced_sampling_seed3,uniform,20,0.0008524447912350297,-7.0665,26.548,9,False
balanced_sampling_seed3,uniform,21,0.0019030465045943856,-6.2624,26.0158,9,False
balanced_sampling_seed3,uniform,22,0.0013615575153380632,-6.5978,25.9551,9,False
balanced_sampling_seed3,uniform,23,0.004036129452288151,-5.5084,26.371,9,False
balanced_sampling_seed3,uniform,24,0.0012276207562536001,-6.7014,26.3243,9,False
balanced_sampling_seed3,uniform,25,0.001046355813741684,-6.8614,26.4891,9,False
balanced_sampling_seed3,uniform,26,0.0004646446614060551,-7.6738,25.8713,9,False
balanced_sampling_seed3,uniform,27,0.0010294998064637184,-6.8777,25.8361,9,False
balanced_sampling_seed3,uniform,28,0.002438694704324007,-6.0139,25.1875,9,False
balanced_sampling_seed3,uniform,29,0.000861578097101301,-7.0559,26.7647,9,False
balanced_sampling_seed3,binary_p0.3,0,1.1338937838445418e-05,-11.3873,41.3687,9,False
balanced_sampling_seed3,binary_p0.3,1,1.8670218196348287e-05,-10.8886,40.1431,9,False
balanced_sampling_seed3,binary_p0.3,2,1.9067265384364873e-05,-10.8675,40.1622,9,False
balanced_sampling_seed3,binary_p0.3,3,1.004657860903535e-05,-11.5083,39.8087,9,False
balanced_sampling_seed3,binary_p0.3,4,2.918101245086291e-06,-12.7446,41.6175,9,False
balanced_sampling_seed3,binary_p0.3,5,4.672363047575345e-06,-12.2738,41.2529,9,False
balanced_sampling_seed3,binary_p0.3,6,0.00018972285033669323,-8.5698,41.055,9,False
balanced_sampling_seed3,binary_p0.3,7,1.9278741092421114e-05,-10.8565,40.8436,9,False
balanced_sampling_seed3,binary_p0.3,8,3.703491893247701e-05,-10.2036,39.3608,9,False
balanced_sampling_seed3,binary_p0.3,9,5.18709975949605e-06,-12.1693,40.2545,9,False
balanced_sampling_seed3,binary_p0.3,10,4.0510079998057336e-05,-10.1139,41.5471,9,False
balanced_sampling_seed3,binary_p0.3,11,4.354613702162169e-05,-10.0416,40.8749,9,False
balanced_sampling_seed3,binary_p0.3,12,1.1615947187237907e-05,-11.3631,40.614,9,False
balanced_sampling_seed3,binary_p0.3,13,2.2023064957465976e-05,-10.7234,41.7485,9,False
balanced_sampling_seed3,binary_p0.3,14,3.023394128831569e-05,-10.4065,41.2768,9,False
balanced_sampling_seed3,binary_p0.3,15,1.7063321138266474e-05,-10.9786,40.9883,9,False
balanced_sampling_seed3,binary_p0.3,16,1.4056870895728935e-05,-11.1724,42.7278,9,False
balanced_sampling_seed3,binary_p0.3,17,1.884475386759732e-05,-10.8793,40.409,9,False
balanced_sampling_seed3,binary_p0.3,18,2.3649128706892952e-05,-10.6522,40.6683,9,False
balanced_sampling_seed3,binary_p0.3,19,2.748990482359659e-05,-10.5017,40.0085,9,False
balanced_sampling_seed3,binary_p0.3,20,2.0535793737508357e-05,-10.7933,41.2217,9,False
balanced_sampling_seed3,binary_p0.3,21,1.5952966350596398e-05,-11.0458,41.8113,9,False
balanced_sampling_seed3,binary_p0.3,22,5.002950729249278e-06,-12.2055,41.3299,9,False
balanced_sampling_seed3,binary_p0.3,23,6.638100785494316e-06,-11.9227,38.9996,9,False
balanced_sampling_seed3,binary_p0.3,24,1.582376535225194e-05,-11.054,41.6592,9,False
balanced_sampling_seed3,binary_p0.3,25,8.67228300194256e-06,-11.6554,41.5828,9,False
balanced_sampling_seed3,binary_p0.3,26,3.173024015268311e-05,-10.3582,39.7666,9,False
balanced_sampling_seed3,binary_p0.3,27,2.003275221795775e-05,-10.8181,40.6315,9,False
balanced_sampling_seed3,binary_p0.3,28,8.04505543783307e-06,-11.7304,41.1597,9,False
balanced_sampling_seed3,binary_p0.3,29,1.2057204003212973e-05,-11.3258,39.5893,9,False
baseline_noweight_seed1,uniform,0,0.8857139945030212,2.0477,4.299,5,False
baseline_noweight_seed1,uniform,1,0.9161156415939331,2.3907,4.7666,5,False
baseline_noweight_seed1,uniform,2,0.9004232287406921,2.2019,4.3991,5,False
baseline_noweight_seed1,uniform,3,0.8267390727996826,1.5627,3.7318,5,False
baseline_noweight_seed1,uniform,4,0.9028490781784058,2.2293,4.7708,5,False
baseline_noweight_seed1,uniform,5,0.8445835113525391,1.6927,3.661,5,False
baseline_noweight_seed1,uniform,6,0.8400356769561768,1.6585,4.3711,5,False
baseline_noweight_seed1,uniform,7,0.8656741976737976,1.8632,4.4899,5,False
baseline_noweight_seed1,uniform,8,0.8828456997871399,2.0197,4.4852,5,False
baseline_noweight_seed1,uniform,9,0.8468493223190308,1.7101,3.5869,5,False
baseline_noweight_seed1,uniform,10,0.8569120168685913,1.7899,4.0994,5,False
baseline_noweight_seed1,uniform,11,0.8093167543411255,1.4456,3.9143,5,False
baseline_noweight_seed1,uniform,12,0.8484954237937927,1.7228,4.04,5,False
baseline_noweight_seed1,uniform,13,0.8559799790382385,1.7823,4.0112,5,False
baseline_noweight_seed1,uniform,14,0.811074435710907,1.457,3.9011,5,False
baseline_noweight_seed1,uniform,15,0.8558818697929382,1.7815,4.4258,5,False
baseline_noweight_seed1,uniform,16,0.8434433341026306,1.6841,4.2012,5,False
baseline_noweight_seed1,uniform,17,0.8148866295814514,1.4821,4.1993,6,False
baseline_noweight_seed1,uniform,18,0.8751874566078186,1.9476,4.4372,6,False
baseline_noweight_seed1,uniform,19,0.9000396132469177,2.1977,4.3837,5,False
baseline_noweight_seed1,uniform,20,0.9035773277282715,2.2376,4.4379,5,False
baseline_noweight_seed1,uniform,21,0.8842148780822754,2.033,4.1785,5,False
baseline_noweight_seed1,uniform,22,0.8802599310874939,1.9949,4.252,5,False
baseline_noweight_seed1,uniform,23,0.8833112716674805,2.0242,4.7203,5,False
baseline_noweight_seed1,uniform,24,0.827267587184906,1.5664,4.0443,5,False
baseline_noweight_seed1,uniform,25,0.9007909297943115,2.206,4.8762,5,False
baseline_noweight_seed1,uniform,26,0.866853654384613,1.8734,4.1553,5,False
baseline_noweight_seed1,uniform,27,0.8728298544883728,1.9262,3.9564,5,False
baseline_noweight_seed1,uniform,28,0.8884903788566589,2.0754,4.4596,5,False
baseline_noweight_seed1,uniform,29,0.8796505331993103,1.9891,4.2266,6,False
baseline_noweight_seed1,binary_p0.3,0,0.22021599113941193,-1.2644,3.1764,5,False
baseline_noweight_seed1,binary_p0.3,1,0.2022884339094162,-1.3721,3.5293,6,False
baseline_noweight_seed1,binary_p0.3,2,0.19802434742450714,-1.3987,3.1658,5,False
baseline_noweight_seed1,binary_p0.3,3,0.214365616440773,-1.2988,3.8649,4,False
baseline_noweight_seed1,binary_p0.3,4,0.2528337240219116,-1.0836,3.5034,3,False
baseline_noweight_seed1,binary_p0.3,5,0.2555157244205475,-1.0694,3.095,3,False
